   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     311  5.24924677E-01  2.75546395E-01  7.59263434E-02  6.66664350E-01  2.76504181E-04  9.50914296E-01 -1.28138035E+00 -1.28115959E+00  0.00000000E+00
     321  5.24947362E-01  2.75570204E-01  7.59394564E-02  6.66664387E-01  2.72122421E-04  9.49584026E-01 -1.28134953E+00 -1.28112906E+00  0.00000000E+00
     331  5.24972177E-01  2.75596251E-01  7.59538057E-02  6.66664420E-01  2.68279117E-04  9.26129486E-01 -1.28137584E+00 -1.28115431E+00  0.00000000E+00
     341  5.25001942E-01  2.75627511E-01  7.59710457E-02  6.66664382E-01  2.72823916E-04  9.12559402E-01 -1.28135198E+00 -1.28113037E+00  0.00000000E+00
     351  5.24983777E-01  2.75608442E-01  7.59605378E-02  6.66664365E-01  2.74800114E-04  9.63815010E-01 -1.28134081E+00 -1.28111903E+00  0.00000000E+00
     361  5.24985805E-01  2.75610564E-01  7.59616998E-02  6.66664399E-01  2.70781508E-04  9.41193397E-01 -1.28133189E+00 -1.28111019E+00  0.00000000E+00
     371  5.24991911E-01  2.75616963E-01  7.59652134E-02  6.66664460E-01  2.63508128E-04  9.21131971E-01 -1.28133100E+00 -1.28110954E+00  0.00000000E+00
     381  5.25006838E-01  2.75632636E-01  7.59738537E-02  6.66664458E-01  2.63765700E-04  9.77434166E-01 -1.28136177E+00 -1.28113969E+00  0.00000000E+00
     391  5.25015858E-01  2.75642094E-01  7.59790531E-02  6.66664521E-01  2.56192009E-04  9.41087553E-01 -1.28135765E+00 -1.28113600E+00  0.00000000E+00
     401  5.25013098E-01  2.75639184E-01  7.59774351E-02  6.66664581E-01  2.49035449E-04  9.26099310E-01 -1.28137243E+00 -1.28115125E+00  0.00000000E+00
     411  5.25012930E-01  2.75638999E-01  7.59773240E-02  6.66664622E-01  2.44187683E-04  9.03229348E-01 -1.28137023E+00 -1.28114946E+00  0.00000000E+00
     421  5.25018842E-01  2.75645193E-01  7.59807234E-02  6.66664689E-01  2.36139955E-04  8.80053820E-01 -1.28136982E+00 -1.28114931E+00  0.00000000E+00
