#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    164 -0.300000 -0.050000 -0.450000        1    3.37681817E-10  1.55313748E-09  7.10260251E-09  7.27827092E-09
    165 -0.250000 -0.050000 -0.450000        1    4.10432367E-09  4.83091090E-09  4.23978453E-09  7.62620127E-09
    166 -0.200000 -0.050000 -0.450000        1    1.36254336E-09  4.36120275E-09  3.92971663E-09  6.02654848E-09
    167 -0.150000 -0.050000 -0.450000        1    1.01260581E-08  8.37922682E-09  1.26494947E-08  1.82416614E-08
    168 -0.100000 -0.050000 -0.450000        1    8.72328812E-09  7.62605310E-09  3.07518916E-09  1.19878785E-08
    169 -0.050000 -0.050000 -0.450000        1    9.06423824E-11  4.49751532E-09  2.61936858E-09  5.20547325E-09
    170  0.000000 -0.050000 -0.450000        1    1.93265979E-09  1.14906437E-08  5.27137031E-09  1.27889566E-08
    171  0.050000 -0.050000 -0.450000        1    4.13057079E-09  6.72587152E-09  1.03908543E-09  7.96107161E-09
    172  0.100000 -0.050000 -0.450000        1    2.30742755E-09  6.31203399E-09  3.91212292E-09  7.77629094E-09
    173  0.150000 -0.050000 -0.450000        1    2.25997493E-09  5.70386564E-09  9.87081721E-11  6.13606660E-09
    174  0.200000 -0.050000 -0.450000        1    1.52655658E-08  1.09419451E-09  5.19483319E-09  1.61623344E-08
    175  0.250000 -0.050000 -0.450000        1    2.03519484E-10  6.37445788E-10  2.97844740E-09  3.05268836E-09
    176  0.300000 -0.050000 -0.450000        1    1.70457456E-09  5.98102754E-09  4.02742152E-09  7.40934470E-09
    177  0.350000 -0.050000 -0.450000        1    5.71933328E-10  2.83324944E-09  1.18743359E-09  3.12480538E-09
    178  0.400000 -0.050000 -0.450000        1    6.54600490E-10  6.55832132E-09  3.34482792E-09  7.39107260E-09
    179  0.450000 -0.050000 -0.450000        1    3.09164444E-09  2.35794391E-09  1.82954770E-09  4.29713970E-09
    180  0.500000 -0.050000 -0.450000        1    6.26481693E-09  1.41925639E-09  2.84872996E-09  7.02691128E-09
    181 -0.450000  0.000000 -0.450000        1    6.02881307E-11  2.33616763E-09  1.01469394E-09  2.54772794E-09
    182 -0.400000  0.000000 -0.450000        1    3.26090919E-09  6.31252596E-10  4.14893666E-09  5.31466688E-09
    183 -0.350000  0.000000 -0.450000        1    4.59775538E-09  1.20495782E-09  8.40014738E-10  4.82668651E-09
    184 -0.300000  0.000000 -0.450000        1    3.73726440E-10  1.13381012E-08  6.61942890E-09  1.31342700E-08
    185 -0.250000  0.000000 -0.450000        1    7.18691947E-11  7.53464402E-09  2.08789562E-09  7.81890874E-09
    186 -0.200000  0.000000 -0.450000        1    5.04300523E-09  1.72216184E-10  1.41605377E-09  5.24087477E-09
    187 -0.150000  0.000000 -0.450000        1    1.09768003E-09  3.75580262E-09  1.61270900E-09  4.23223169E-09
    188 -0.100000  0.000000 -0.450000        1    4.30377142E-09  9.20046370E-09  6.52827113E-09  1.20743242E-08
