   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1411  2.78957052E+00  7.78170380E+00  6.05549176E+01  6.66666648E-01  7.18108791E-27  0.00000000E+00 -6.23873712E+00 -5.90259453E+00  0.00000000E+00
    1421  2.78957055E+00  7.78170394E+00  6.05549197E+01  6.66666648E-01  7.08041057E-27  0.00000000E+00 -6.23873715E+00 -5.90259456E+00  0.00000000E+00
    1431  2.78957057E+00  7.78170408E+00  6.05549217E+01  6.66666648E-01  6.98183570E-27  0.00000000E+00 -6.23873718E+00 -5.90259458E+00  0.00000000E+00
    1441  2.78957059E+00  7.78170421E+00  6.05549237E+01  6.66666648E-01  6.88530540E-27  0.00000000E+00 -6.23873721E+00 -5.90259461E+00  0.00000000E+00
    1451  2.78957062E+00  7.78170434E+00  6.05549257E+01  6.66666649E-01  6.79076273E-27  0.00000000E+00 -6.23873724E+00 -5.90259463E+00  0.00000000E+00
    1461  2.78957064E+00  7.78170446E+00  6.05549276E+01  6.66666649E-01  6.69815392E-27  0.00000000E+00 -6.23873727E+00 -5.90259466E+00  0.00000000E+00
    1471  2.78957066E+00  7.78170458E+00  6.05549294E+01  6.66666649E-01  6.60742664E-27  0.00000000E+00 -6.23873730E+00 -5.90259468E+00  0.00000000E+00
    1481  2.78957068E+00  7.78170470E+00  6.05549312E+01  6.66666649E-01  6.51853027E-27  0.00000000E+00 -6.23873733E+00 -5.90259470E+00  0.00000000E+00
    1491  2.78957070E+00  7.78170481E+00  6.05549329E+01  6.66666650E-01  6.43141614E-27  0.00000000E+00 -6.23873736E+00 -5.90259473E+00  0.00000000E+00
    1501  2.78957072E+00  7.78170492E+00  6.05549346E+01  6.66666650E-01  6.34603730E-27  0.00000000E+00 -6.23873739E+00 -5.90259475E+00  0.00000000E+00
    1511  2.78957074E+00  7.78170503E+00  6.05549362E+01  6.66666650E-01  6.26234692E-27  0.00000000E+00 -6.23873741E+00 -5.90259477E+00  0.00000000E+00
    1521  2.78957076E+00  7.78170514E+00  6.05549378E+01  6.66666650E-01  6.18030094E-27  0.00000000E+00 -6.23873744E+00 -5.90259479E+00  0.00000000E+00
    1531  2.78957078E+00  7.78170524E+00  6.05549394E+01  6.66666650E-01  6.09985694E-27  0.00000000E+00 -6.23873747E+00 -5.90259482E+00  0.00000000E+00
    1541  2.78957080E+00  7.78170534E+00  6.05549409E+01  6.66666651E-01  6.02097341E-27  0.00000000E+00 -6.23873749E+00 -5.90259484E+00  0.00000000E+00
    1551  2.78957082E+00  7.78170543E+00  6.05549423E+01  6.66666651E-01  5.94361056E-27  0.00000000E+00 -6.23873752E+00 -5.90259486E+00  0.00000000E+00
    1561  2.78957083E+00  7.78170553E+00  6.05549437E+01  6.66666651E-01  5.86772872E-27  0.00000000E+00 -6.23873754E+00 -5.90259488E+00  0.00000000E+00
    1571  2.78957085E+00  7.78170562E+00  6.05549451E+01  6.66666651E-01  5.79329085E-27  0.00000000E+00 -6.23873757E+00 -5.90259490E+00  0.00000000E+00
