   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1451  2.25943441E-02  6.03394281E-04  6.25794056E-07  4.27061772E-01  1.03167748E-02  5.79176793E-01 -2.99310111E-01 -2.96657581E-01  0.00000000E+00
    1461  2.26694844E-02  6.07422340E-04  6.33556693E-07  4.27622297E-01  1.03864035E-02  5.79241077E-01 -2.99311346E-01 -2.96659979E-01  0.00000000E+00
    1471  2.26286086E-02  6.05315130E-04  6.29990527E-07  4.26874534E-01  1.03580141E-02  5.75095518E-01 -2.99315841E-01 -2.96665612E-01  0.00000000E+00
    1481  2.26668484E-02  6.06928357E-04  6.31671712E-07  4.28395927E-01  1.03448127E-02  5.70500630E-01 -2.99289721E-01 -2.96639300E-01  0.00000000E+00
    1491  2.26952038E-02  6.08191087E-04  6.32435274E-07  4.30078912E-01  1.03421996E-02  5.69552291E-01 -2.99300934E-01 -2.96650532E-01  0.00000000E+00
    1501  2.27224757E-02  6.09411511E-04  6.34106315E-07  4.30859466E-01  1.03401777E-02  5.70195405E-01 -2.99320247E-01 -2.96670374E-01  0.00000000E+00
    1511  2.26961207E-02  6.07939397E-04  6.30978715E-07  4.30920584E-01  1.03096230E-02  5.70749273E-01 -2.99319844E-01 -2.96669201E-01  0.00000000E+00
    1521  2.26940367E-02  6.08272231E-04  6.33806202E-07  4.28995871E-01  1.03570951E-02  5.69401782E-01 -2.99315502E-01 -2.96663841E-01  0.00000000E+00
    1531  2.26139434E-02  6.04861687E-04  6.28438766E-07  4.27428720E-01  1.03813428E-02  5.69748260E-01 -2.99306456E-01 -2.96654903E-01  0.00000000E+00
    1541  2.25103856E-02  6.00332937E-04  6.21688900E-07  4.25000436E-01  1.03973611E-02  5.68203612E-01 -2.99297647E-01 -2.96646255E-01  0.00000000E+00
    1551  2.25448097E-02  6.02653233E-04  6.26597215E-07  4.24914757E-01  1.04828046E-02  5.65427913E-01 -2.99313478E-01 -2.96664226E-01  0.00000000E+00
    1561  2.25189274E-02  6.00547038E-04  6.21428237E-07  4.25651262E-01  1.03784214E-02  5.68774071E-01 -2.99297059E-01 -2.96647842E-01  0.00000000E+00
    1571  2.24785376E-02  5.98392043E-04  6.17224945E-07  4.25419880E-01  1.03409308E-02  5.65749528E-01 -2.99273629E-01 -2.96622903E-01  0.00000000E+00
