   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
     271  1.43986089E-02  2.49430563E-04  1.14804063E-07  3.84912827E-01  4.05339803E-03  3.62141295E-01 -2.44210241E-01 -2.41735801E-01  0.00000000E+00
     281  1.42641583E-02  2.45707027E-04  1.11739159E-07  3.83051391E-01  4.06592955E-03  3.58086347E-01 -2.44320276E-01 -2.41834791E-01  0.00000000E+00
     291  1.42010162E-02  2.43372022E-04  1.08914426E-07  3.87053104E-01  4.01417738E-03  3.42417851E-01 -2.44255971E-01 -2.41781475E-01  0.00000000E+00
     301  1.44740841E-02  2.51282193E-04  1.12967241E-07  4.03640912E-01  4.02187008E-03  3.69251315E-01 -2.44377449E-01 -2.41901071E-01  0.00000000E+00
     311  1.46911467E-02  2.57012043E-04  1.14774484E-07  4.20815213E-01  3.96403670E-03  3.83089087E-01 -2.44545670E-01 -2.42072306E-01  0.00000000E+00
     321  1.46735836E-02  2.56177851E-04  1.12980437E-07  4.26149400E-01  3.93338337E-03  3.80893861E-01 -2.44679585E-01 -2.42202869E-01  0.00000000E+00
     331  1.44745863E-02  2.50191628E-04  1.08986111E-07  4.19630801E-01  3.91549737E-03  3.83945941E-01 -2.44811476E-01 -2.42336030E-01  0.00000000E+00
     341  1.45049721E-02  2.51088698E-04  1.09053049E-07  4.23416476E-01  3.91708602E-03  3.78480270E-01 -2.44824977E-01 -2.42341374E-01  0.00000000E+00
     351  1.45689454E-02  2.51559056E-04  1.07608890E-07  4.33177627E-01  3.78332907E-03  3.70941728E-01 -2.44733334E-01 -2.42243573E-01  0.00000000E+00
     361  1.45423063E-02  2.50853338E-04  1.07146931E-07  4.32430938E-01  3.79004580E-03  3.72389054E-01 -2.44763914E-01 -2.42275916E-01  0.00000000E+00
     371  1.46421369E-02  2.53001242E-04  1.07361771E-07  4.40908220E-01  3.71635239E-03  3.71998191E-01 -2.44745316E-01 -2.42248987E-01  0.00000000E+00
     381  1.44743544E-02  2.47439801E-04  1.03533839E-07  4.36333864E-01  3.65126406E-03  3.79919125E-01 -2.44685628E-01 -2.42188145E-01  0.00000000E+00
     391  1.44747954E-02  2.46718557E-04  1.02083826E-07  4.40973943E-01  3.58061103E-03  3.72992796E-01 -2.44657676E-01 -2.42149706E-01  0.00000000E+00
     401  1.44905610E-02  2.47053547E-04  1.01600149E-07  4.45130433E-01  3.56890002E-03  3.66015207E-01 -2.44732846E-01 -2.42218037E-01  0.00000000E+00
     411  1.45305298E-02  2.48014932E-04  1.01978615E-07  4.47372874E-01  3.54978799E-03  3.53994473E-01 -2.44753500E-01 -2.42233442E-01  0.00000000E+00
     421  1.44713770E-02  2.46322621E-04  1.01127180E-07  4.44430943E-01  3.55202423E-03  3.47045536E-01 -2.44776490E-01 -2.42260278E-01  0.00000000E+00
     431  1.44791089E-02  2.45854456E-04  9.97691331E-08  4.49802294E-01  3.48541447E-03  3.39801418E-01 -2.44836506E-01 -2.42320559E-01  0.00000000E+00
     441  1.44767402E-02  2.45837918E-04  9.93975534E-08  4.51777693E-01  3.49042460E-03  3.35769973E-01 -2.44820221E-01 -2.42310505E-01  0.00000000E+00
     451  1.44775069E-02  2.46350716E-04  1.00492365E-07  4.48044389E-01  3.53764758E-03  3.32950851E-01 -2.44967285E-01 -2.42453410E-01  0.00000000E+00
     461  1.43954285E-02  2.43276240E-04  9.83075479E-08  4.46310585E-01  3.46982251E-03  3.32733305E-01 -2.44965473E-01 -2.42448075E-01  0.00000000E+00
     471  1.44406538E-02  2.45010375E-04  9.98571882E-08  4.45515860E-01  3.51121419E-03  3.31145224E-01 -2.45098680E-01 -2.42578095E-01  0.00000000E+00
     481  1.44878759E-02  2.46197016E-04  9.96782773E-08  4.51831976E-01  3.49394341E-03  3.25251151E-01 -2.45049680E-01 -2.42531788E-01  0.00000000E+00
     491  1.45324030E-02  2.48024219E-04  1.01411427E-07  4.50487651E-01  3.54544187E-03  3.15242006E-01 -2.45078212E-01 -2.42562727E-01  0.00000000E+00
     501  1.44598654E-02  2.46280303E-04  1.00750260E-07  4.46311428E-01  3.58000862E-03  3.15129326E-01 -2.45094703E-01 -2.42581549E-01  0.00000000E+00
     511  1.45198068E-02  2.49102523E-04  1.04526851E-07  4.38499227E-01  3.68445959E-03  3.17476163E-01 -2.45160078E-01 -2.42644996E-01  0.00000000E+00
     521  1.44129095E-02  2.46303897E-04  1.02981623E-07  4.34157047E-01  3.71277828E-03  3.19711670E-01 -2.45288977E-01 -2.42775940E-01  0.00000000E+00
