   #Iter           <M>_x           <M>_y           <M>_z             <M>        M_{stdv}
   26300  2.18250311E-03 -1.04040394E-02  3.08620354E-01  3.08803385E-01  0.00000000E+00
   26400  2.18392346E-03 -1.04285937E-02  3.08600988E-01  3.08784868E-01  0.00000000E+00
   26500  2.18513889E-03 -1.04522019E-02  3.08586268E-01  3.08770964E-01  0.00000000E+00
   26600  2.18620013E-03 -1.04749005E-02  3.08575518E-01  3.08760997E-01  0.00000000E+00
   26700  2.18715531E-03 -1.04967347E-02  3.08568129E-01  3.08754361E-01  0.00000000E+00
   26800  2.18804862E-03 -1.05177556E-02  3.08563558E-01  3.08750514E-01  0.00000000E+00
   26900  2.18891918E-03 -1.05380172E-02  3.08561321E-01  3.08748975E-01  0.00000000E+00
   27000  2.18980021E-03 -1.05575749E-02  3.08560992E-01  3.08749321E-01  0.00000000E+00
   27100  2.19071853E-03 -1.05764833E-02  3.08562197E-01  3.08751179E-01  0.00000000E+00
   27200  2.19169434E-03 -1.05947947E-02  3.08564611E-01  3.08754226E-01  0.00000000E+00
   27300  2.19274128E-03 -1.06125586E-02  3.08567950E-01  3.08758181E-01  0.00000000E+00
   27400  2.19386672E-03 -1.06298208E-02  3.08571973E-01  3.08762803E-01  0.00000000E+00
   27500  2.19507219E-03 -1.06466227E-02  3.08576471E-01  3.08767886E-01  0.00000000E+00
