   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1301  3.82949164E-02  1.71165322E-03  4.72110662E-06  4.62855677E-01  1.10612792E-03  2.10521226E-01 -1.25234448E+00 -1.23539800E+00  0.00000000E+00
    1311  3.82440585E-02  1.70592217E-03  4.68665838E-06  4.63186267E-01  1.09783290E-03  2.08223376E-01 -1.25224563E+00 -1.23531548E+00  0.00000000E+00
    1321  3.82326137E-02  1.70605800E-03  4.68406573E-06  4.63568661E-01  1.10239494E-03  2.05726329E-01 -1.25210594E+00 -1.23517298E+00  0.00000000E+00
    1331  3.82913068E-02  1.70877566E-03  4.67927373E-06  4.65820648E-01  1.09439169E-03  2.10534804E-01 -1.25212274E+00 -1.23519347E+00  0.00000000E+00
    1341  3.83731156E-02  1.71342422E-03  4.68227741E-06  4.68374156E-01  1.08706752E-03  2.12366471E-01 -1.25189549E+00 -1.23496139E+00  0.00000000E+00
    1351  3.83807804E-02  1.71347780E-03  4.67401650E-06  4.69345290E-01  1.08465487E-03  2.13750230E-01 -1.25200686E+00 -1.23507421E+00  0.00000000E+00
    1361  3.83852546E-02  1.71668494E-03  4.71464553E-06  4.66730683E-01  1.09757577E-03  2.13583453E-01 -1.25174313E+00 -1.23480256E+00  0.00000000E+00
    1371  3.84450454E-02  1.72165973E-03  4.73526297E-06  4.67489466E-01  1.09929503E-03  2.13470932E-01 -1.25185630E+00 -1.23491676E+00  0.00000000E+00
    1381  3.84375705E-02  1.72020424E-03  4.71834562E-06  4.68493636E-01  1.09532086E-03  2.14509562E-01 -1.25201897E+00 -1.23504576E+00  0.00000000E+00
    1391  3.85300122E-02  1.72854987E-03  4.77026200E-06  4.67821713E-01  1.10087340E-03  2.13538994E-01 -1.25213580E+00 -1.23519097E+00  0.00000000E+00
    1401  3.84361654E-02  1.72080337E-03  4.73317745E-06  4.67194085E-01  1.09851150E-03  2.18322812E-01 -1.25205627E+00 -1.23509322E+00  0.00000000E+00
    1411  3.84510212E-02  1.72202319E-03  4.74307439E-06  4.66836154E-01  1.09886161E-03  2.19599388E-01 -1.25219764E+00 -1.23523072E+00  0.00000000E+00
    1421  3.85121907E-02  1.72780668E-03  4.77438428E-06  4.66903514E-01  1.10371513E-03  2.20041002E-01 -1.25221394E+00 -1.23525222E+00  0.00000000E+00
    1431  3.85441730E-02  1.73037100E-03  4.78733119E-06  4.67041045E-01  1.10416577E-03  2.22194382E-01 -1.25210138E+00 -1.23512922E+00  0.00000000E+00
    1441  3.85942961E-02  1.73383257E-03  4.79602562E-06  4.68202949E-01  1.10233912E-03  2.21285477E-01 -1.25201645E+00 -1.23504251E+00  0.00000000E+00
    1451  3.87123506E-02  1.74716937E-03  4.94074564E-06  4.60487855E-01  1.12133645E-03  2.19288154E-01 -1.25206917E+00 -1.23509472E+00  0.00000000E+00
    1461  3.87550008E-02  1.75332670E-03  4.99080057E-06  4.58843018E-01  1.13421069E-03  2.18792832E-01 -1.25232017E+00 -1.23534545E+00  0.00000000E+00
