   #Iter             <M>           <M^2>           <M^4>      U_{Binder}            \chi        C_v(tot)             <E>       <E_{exc}>       <E_{lsf}>
    1181  2.95339457E-02  1.02485535E-03  1.76505144E-06  4.39841452E-01  1.76265509E-02  8.09987105E-01 -3.21088678E-01 -3.18405580E-01  0.00000000E+00
    1191  2.95074471E-02  1.02494565E-03  1.77749997E-06  4.35990171E-01  1.78176944E-02  8.09716226E-01 -3.21023100E-01 -3.18339148E-01  0.00000000E+00
    1201  2.96641902E-02  1.03757659E-03  1.82358984E-06  4.35367878E-01  1.82053578E-02  8.20234142E-01 -3.21056929E-01 -3.18372969E-01  0.00000000E+00
    1211  2.96106561E-02  1.03342518E-03  1.80735327E-06  4.35890108E-01  1.80923710E-02  8.21460039E-01 -3.21043967E-01 -3.18361819E-01  0.00000000E+00
    1221  2.94640181E-02  1.02496831E-03  1.78646537E-06  4.33170463E-01  1.81161328E-02  8.24812139E-01 -3.21000492E-01 -3.18320531E-01  0.00000000E+00
    1231  2.93482210E-02  1.01915102E-03  1.77498461E-06  4.30365546E-01  1.82308320E-02  8.20605190E-01 -3.20985359E-01 -3.18304155E-01  0.00000000E+00
    1241  2.93149062E-02  1.01581472E-03  1.76085262E-06  4.31182761E-01  1.80712064E-02  8.18769603E-01 -3.20976982E-01 -3.18295958E-01  0.00000000E+00
    1251  2.93731485E-02  1.01944060E-03  1.76959152E-06  4.32418901E-01  1.80952031E-02  8.12901794E-01 -3.20950393E-01 -3.18267850E-01  0.00000000E+00
    1261  2.92915516E-02  1.01523205E-03  1.75888706E-06  4.31165325E-01  1.81620017E-02  8.08725810E-01 -3.20911001E-01 -3.18229624E-01  0.00000000E+00
    1271  2.93399071E-02  1.01767796E-03  1.76060502E-06  4.33343413E-01  1.81170416E-02  8.14158574E-01 -3.20961038E-01 -3.18281633E-01  0.00000000E+00
    1281  2.92959050E-02  1.01429951E-03  1.74744359E-06  4.33826580E-01  1.80248266E-02  8.12706599E-01 -3.20989566E-01 -3.18308939E-01  0.00000000E+00
    1291  2.93525295E-02  1.01825579E-03  1.76046180E-06  4.34032396E-01  1.80982128E-02  8.09751194E-01 -3.21020812E-01 -3.18342196E-01  0.00000000E+00
    1301  2.93255534E-02  1.01615241E-03  1.75066102E-06  4.34850817E-01  1.80380949E-02  8.05642889E-01 -3.21038364E-01 -3.18361631E-01  0.00000000E+00
    1311  2.94176441E-02  1.02312652E-03  1.77923970E-06  4.33428761E-01  1.82187943E-02  8.01501560E-01 -3.21084210E-01 -3.18408433E-01  0.00000000E+00
    1321  2.93748213E-02  1.01886960E-03  1.76213068E-06  4.34178231E-01  1.80178968E-02  8.00039796E-01 -3.21073831E-01 -3.18396552E-01  0.00000000E+00
    1331  2.94571183E-02  1.02365048E-03  1.77456332E-06  4.35496220E-01  1.80108738E-02  7.97050544E-01 -3.21122988E-01 -3.18446201E-01  0.00000000E+00
    1341  2.93161737E-02  1.01547782E-03  1.75368837E-06  4.33121108E-01  1.80237076E-02  7.98651848E-01 -3.21058578E-01 -3.18382087E-01  0.00000000E+00
    1351  2.94683010E-02  1.02521025E-03  1.77841551E-06  4.35990910E-01  1.81149249E-02  8.02098501E-01 -3.21091635E-01 -3.18414496E-01  0.00000000E+00
    1361  2.95483567E-02  1.03029675E-03  1.78950152E-06  4.38064905E-01  1.81567248E-02  7.98838246E-01 -3.21121109E-01 -3.18443874E-01  0.00000000E+00
