#    iq    q_x        q_y      q_x          qw       Re(S_xx)        Re(S_yy)        Re(S_zz)         |S|      
    200  0.500000  0.000000 -0.450000        1    2.45937498E-09  2.19679601E-09  2.01315120E-09  3.86357552E-09
    201 -0.450000  0.050000 -0.450000        1    3.74186708E-09  1.19141689E-11  4.40085727E-10  3.76767656E-09
    202 -0.400000  0.050000 -0.450000        1    2.13793956E-09  8.21491823E-09  5.08288307E-09  9.89400664E-09
    203 -0.350000  0.050000 -0.450000        1    7.46866170E-09  3.54903858E-09  1.59037855E-09  8.42056330E-09
    204 -0.300000  0.050000 -0.450000        1    1.96494373E-09  6.29394905E-10  3.49829788E-09  4.06143200E-09
    205 -0.250000  0.050000 -0.450000        1    3.77050935E-09  2.33902749E-09  2.32741683E-09  5.01045502E-09
    206 -0.200000  0.050000 -0.450000        1    2.32303575E-09  1.33287521E-09  3.22073328E-09  4.18881538E-09
    207 -0.150000  0.050000 -0.450000        1    2.06448780E-10  2.86178185E-11  2.82892704E-09  2.83659449E-09
    208 -0.100000  0.050000 -0.450000        1    6.08686831E-09  1.55954831E-08  3.12661817E-10  1.67441577E-08
    209 -0.050000  0.050000 -0.450000        1    9.39458534E-09  6.60183278E-10  4.82276223E-09  1.05807897E-08
    210  0.000000  0.050000 -0.450000        1    5.34999644E-10  1.32501771E-08  2.41274107E-10  1.32631682E-08
    211  0.050000  0.050000 -0.450000        1    4.76383458E-09  6.58358609E-10  3.12935815E-09  5.73763352E-09
    212  0.100000  0.050000 -0.450000        1    2.70710518E-09  3.05445397E-09  1.66253350E-09  4.40705402E-09
    213  0.150000  0.050000 -0.450000        1    4.18255300E-09  3.12417082E-09  2.32060765E-09  5.71309135E-09
    214  0.200000  0.050000 -0.450000        1    3.83831658E-09  4.26781342E-10  6.75152395E-09  7.77803909E-09
    215  0.250000  0.050000 -0.450000        1    2.79689000E-09  2.94952631E-09  1.57161676E-10  4.06780026E-09
    216  0.300000  0.050000 -0.450000        1    2.95157474E-10  3.18254788E-11  9.77657316E-09  9.78107936E-09
    217  0.350000  0.050000 -0.450000        1    1.41722283E-08  6.01730255E-09  2.96856506E-09  1.56803177E-08
    218  0.400000  0.050000 -0.450000        1    8.73180048E-10  1.52051234E-09  1.36765031E-09  2.22370604E-09
    219  0.450000  0.050000 -0.450000        1    5.99771584E-10  5.84061194E-09  3.61009284E-09  6.89240481E-09
    220  0.500000  0.050000 -0.450000        1    1.05624709E-09  2.90027044E-09  3.51575565E-09  4.67843610E-09
    221 -0.450000  0.100000 -0.450000        1    7.47466522E-09  8.78867364E-09  1.74889691E-09  1.16691921E-08
    222 -0.400000  0.100000 -0.450000        1    3.54202252E-10  2.86259575E-09  1.97892336E-09  3.49800677E-09
    223 -0.350000  0.100000 -0.450000        1    1.69782027E-10  1.03404759E-09  3.78139210E-10  1.11403304E-09
    224 -0.300000  0.100000 -0.450000        1    4.42153889E-09  7.43447254E-10  3.13834320E-09  5.47283456E-09
    225 -0.250000  0.100000 -0.450000        1    2.40465016E-09  1.16058039E-09  6.52426555E-09  7.04949149E-09
    226 -0.200000  0.100000 -0.450000        1    1.79110003E-09  1.42365084E-09  5.94140652E-09  6.36672070E-09
    227 -0.150000  0.100000 -0.450000        1    3.95418924E-10  7.33723101E-09  6.03098506E-09  9.50600314E-09
