   #Iter                 Tot                 Exc                 Ani                  DM                  PD               BiqDM                  BQ                 Dip              Zeeman                 LSF                Chir                Ring                  SA
    3150 -2.65152091E-01 -2.62887423E-01  0.00000000E+00 -2.26334810E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.32024574E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3200 -2.76754460E-01 -2.74185605E-01  0.00000000E+00 -2.56867537E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.79179970E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3250 -2.70688348E-01 -2.68306464E-01  0.00000000E+00 -2.38044452E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.43945928E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3300 -2.78900211E-01 -2.76490914E-01  0.00000000E+00 -2.41095400E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.65701527E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3350 -2.72631916E-01 -2.69931602E-01  0.00000000E+00 -2.69714923E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.16450704E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3400 -2.77054541E-01 -2.74748304E-01  0.00000000E+00 -2.30575358E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -4.83651676E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3450 -2.69199354E-01 -2.67091835E-01  0.00000000E+00 -2.10981659E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.29763994E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3500 -2.76239293E-01 -2.73330702E-01  0.00000000E+00 -2.90855496E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -3.63386163E-08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3550 -2.75785974E-01 -2.73553503E-01  0.00000000E+00 -2.23379572E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.32510667E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3600 -2.77136091E-01 -2.74371336E-01  0.00000000E+00 -2.76802069E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.26502380E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3650 -2.75487604E-01 -2.72472266E-01  0.00000000E+00 -3.01424138E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.09645294E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3700 -2.81882822E-01 -2.79087609E-01  0.00000000E+00 -2.79664222E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.42888921E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3750 -2.72113434E-01 -2.69143048E-01  0.00000000E+00 -2.96754198E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.84449880E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3800 -2.74734208E-01 -2.72097061E-01  0.00000000E+00 -2.63812041E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  9.73263635E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3850 -2.70626094E-01 -2.67752039E-01  0.00000000E+00 -2.87390724E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.47513494E-07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3900 -2.69239922E-01 -2.66537450E-01  0.00000000E+00 -2.70368025E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.20783787E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    3950 -2.80360454E-01 -2.77503240E-01  0.00000000E+00 -2.85438418E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -2.83001406E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4000 -2.78337988E-01 -2.75858405E-01  0.00000000E+00 -2.48233940E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.75625853E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4050 -2.66747629E-01 -2.64478951E-01  0.00000000E+00 -2.26760271E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00 -1.07504132E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4100 -2.71719799E-01 -2.68482216E-01  0.00000000E+00 -3.24096339E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  3.38006087E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
    4150 -2.66431361E-01 -2.63351220E-01  0.00000000E+00 -3.08138136E-03  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  1.24051849E-06  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00
